Date,Workout Name,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes
2019-01-23 05:20:00,"Early Morning Workout","Bench Press (Barbell)",1,135,10,0,0,"",""
2019-01-23 05:20:00,"Early Morning Workout","Bench Press (Barbell)",2,135,10,0,0,"",""
2019-01-23 05:20:00,"Early Morning Workout","Bench Press (Barbell)",3,155,8,0,0,"",""
2019-01-23 05:20:00,"Early Morning Workout","Chest Fly",1,115,10,0,0,"",""
2019-01-23 05:20:00,"Early Morning Workout","Chest Fly",2,115,8,0,0,"",""
2019-01-23 05:20:00,"Early Morning Workout","Chest Fly",3,115,8,0,0,"",""
2019-01-23 05:20:00,"Early Morning Workout","Bicep Curl (Machine)",1,60,8,0,0,"",""
2019-01-23 05:20:00,"Early Morning Workout","Bicep Curl (Machine)",2,70,8,0,0,"",""
2019-01-24 05:21:32,"Lower 1","Squat (Barbell)",1,135,5,0,0,"",""
2019-01-24 05:21:32,"Lower 1","Squat (Barbell)",2,135,5,0,0,"",""
2019-01-24 05:21:32,"Lower 1","Squat (Barbell)",3,135,5,0,0,"",""
2019-01-24 05:21:32,"Lower 1","Squat (Barbell)",4,0,5,0,0,"",""
2019-01-24 05:21:32,"Lower 1","Leg Extension (Custom)",1,130,10,0,0,"",""
2019-01-24 05:21:32,"Lower 1","Leg Extension (Custom)",2,130,12,0,0,"",""
2019-01-24 05:21:32,"Lower 1","Leg Extension (Custom)",3,130,12,0,0,"",""
2019-01-24 05:21:32,"Lower 1","Calf Raises",1,180,8,0,0,"",""
2019-01-24 05:21:32,"Lower 1","Crunch",1,155,12,0,0,"",""
2019-01-24 05:21:32,"Lower 1","Crunch",2,155,12,0,0,"",""
2019-01-24 05:21:32,"Lower 1","Crunch",3,170,12,0,0,"",""
2019-01-28 05:24:05,"Quick Arms","Bench Press (Barbell)",1,135,10,0,0,"",""
2019-01-28 05:24:05,"Quick Arms","Bench Press (Barbell)",2,135,10,0,0,"",""
2019-01-28 05:24:05,"Quick Arms","Bench Press (Barbell)",3,155,8,0,0,"",""
2019-01-28 05:24:05,"Quick Arms","Bench Press (Barbell)",4,135,8,0,0,"",""
2019-01-28 05:24:05,"Quick Arms","Chest Fly",1,130,12,0,0,"",""
2019-01-28 05:24:05,"Quick Arms","Chest Fly",2,130,10,0,0,"",""
2019-01-28 05:24:05,"Quick Arms","Chest Fly",3,140,10,0,0,"",""
